Zip,TotalPopulation,WhitePopulation,BlackorAfricanAmericanPopulation,AmericanIndianandAlaskaNativePopulation,AsianPopulation,NativeHawaiianandOtherPacificIslanderPopulation,OtherPopulation,TwoorMoreRacesPopulation,PopYear,YearZipId
37013,86261,39688,32839,509,2929,68,7273,2955,2014,201437013
37015,17846,16575,457,32,136,0,393,253,2014,201437015
37027,51818,45861,2059,66,2575,14,104,1139,2014,201437027
37064,52247,46550,3112,52,872,0,933,728,2014,201437064
37072,31058,25651,3692,211,492,0,460,552,2014,201437072
37076,37971,27869,7160,29,1230,52,867,764,2014,201437076
37080,7785,7314,363,0,9,0,15,84,2014,201437080
37086,32634,23918,6657,279,576,10,469,725,2014,201437086
37115,37941,20836,13089,52,396,0,2951,617,2014,201437115
37122,49446,44587,2673,100,918,3,262,903,2014,201437122
37135,9999,8118,947,0,744,0,13,177,2014,201437135
37138,22356,19690,1877,62,206,12,258,251,2014,201437138
37143,3827,3746,59,0,8,0,0,14,2014,201437143
37189,3214,2065,960,0,27,14,28,120,2014,201437189
37201,1896,1024,716,7,11,0,51,87,2014,201437201
37203,11767,5922,4702,0,859,3,71,210,2014,201437203
37204,12599,9985,2074,21,190,0,118,211,2014,201437204
37205,24011,22230,709,56,475,0,244,297,2014,201437205
37206,26223,15593,9215,167,110,0,333,805,2014,201437206
37207,34257,7632,24126,113,504,0,1209,673,2014,201437207
37208,17117,2676,13958,20,89,0,63,311,2014,201437208
37209,36053,21388,9501,115,2641,27,1575,806,2014,201437209
37210,15485,8348,5380,76,260,0,902,519,2014,201437210
37211,77993,49428,13210,86,4379,62,8405,2423,2014,201437211
37212,19758,14812,2755,5,1459,0,108,619,2014,201437212
37213,154,74,79,0,0,0,0,1,2014,201437213
37214,29711,23766,3919,192,607,31,522,674,2014,201437214
37215,21374,20124,497,62,343,0,110,238,2014,201437215
37216,18743,11270,5742,51,146,39,917,578,2014,201437216
37217,28928,16215,8766,0,921,0,2144,882,2014,201437217
37218,14804,3301,11223,20,121,0,11,128,2014,201437218
37219,1142,870,123,0,67,32,0,50,2014,201437219
37220,5774,5560,80,14,69,0,15,36,2014,201437220
37221,39195,33954,2797,16,1632,0,331,465,2014,201437221
37228,1254,327,835,0,0,0,16,76,2014,201437228
37240,602,421,103,0,59,0,0,19,2014,201437240
37243,0,0,0,0,0,0,0,0,2014,201437243
37246,0,0,0,0,0,0,0,0,2014,201437246