Zip,TotalPopulation,WhitePopulation,BlackorAfricanAmericanPopulation,AmericanIndianandAlaskaNativePopulation,AsianPopulation,NativeHawaiianandOtherPacificIslanderPopulation,OtherPopulation,TwoorMoreRacesPopulation
37013,79903,37580,31032,139,2362,128,6107,2555
37015,16985,15996,352,69,162,0,217,189
37027,49832,45183,1583,55,1924,8,145,934
37064,50207,44184,3523,23,991,22,767,697
37072,29598,25158,2958,8,620,98,319,437
37076,37784,28519,6929,89,736,0,844,667
37080,8189,7662,442,0,53,0,0,32
37086,31672,22870,6043,53,1050,0,590,1066
37115,36171,22130,11025,50,100,0,1995,871
37122,46075,42087,2547,156,579,0,217,489
37135,9377,8065,610,0,558,0,14,130
37138,21408,19072,1481,31,240,0,352,232
37143,3925,3838,87,0,0,0,0,0
37189,3299,1853,1178,13,106,0,30,119
37201,1784,970,723,18,0,0,31,42
37203,11171,5581,4471,0,891,0,39,189
37204,12826,9632,2492,30,245,0,164,263
37205,23605,21616,776,90,735,0,68,320
37206,25264,14261,9872,238,153,0,189,551
37207,32896,7596,23418,103,198,0,1067,514
37208,15593,2003,13355,14,60,0,15,146
37209,36480,21139,11004,11,2722,18,750,836
37210,15337,8077,4926,40,550,0,1375,369
37211,75621,49736,13332,75,3966,0,6656,1856
37212,18961,14006,2860,11,1387,0,175,522
37213,185,95,89,0,0,0,0,1
37214,29668,23357,3678,286,1152,9,507,679
37215,22224,20853,536,19,466,0,98,252
37216,18078,10429,6003,26,182,32,953,453
37217,28758,16963,8152,0,793,0,1999,851
37218,14464,3031,11095,15,113,0,143,67
37219,1078,797,122,0,142,0,0,17
37220,5876,5626,117,8,125,0,0,0
37221,37582,33489,1792,44,1487,0,373,397
37228,1570,325,1196,0,0,0,14,35
37240,684,438,152,0,72,0,0,22
37243,0,0,0,0,0,0,0,0
37246,0,0,0,0,0,0,0,0